[21:52:23:757] [2414872:0024d930] [WARN][com.freerdp.client.x11] - [load_map_from_xkbfile]:     : keycode: 0x08 -> no RDP scancode found
[21:52:23:757] [2414872:0024d930] [WARN][com.freerdp.client.x11] - [load_map_from_xkbfile]:     : keycode: 0x5d -> no RDP scancode found
[21:52:23:846] [2414872:0024d930] [WARN][com.freerdp.core.connection] - [rdp_client_connect_auto_detect]: expected messageChannelId=0, got 1003
[21:52:23:846] [2414872:0024d930] [WARN][com.freerdp.core.license] - [license_read_binary_blob_data]: license binary blob::type BB_ERROR_BLOB, length=0, skipping.
[21:52:23:846] [2414872:0024d930] [WARN][com.freerdp.core.connection] - [rdp_client_connect_auto_detect]: expected messageChannelId=0, got 1003
[21:52:24:446] [2414872:0024d997] [WARN][com.freerdp.channels.drdynvc.client] - [check_open_close_receive]: {Microsoft::Windows::RDS::DisplayControl:2} OnOpen=(nil), OnClose=0x7a6e103fa190
[21:52:27:604] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:606] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:609] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:609] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:612] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:612] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:802] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:27:804] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:009] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:012] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:216] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:219] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:417] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:420] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:623] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:625] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:829] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:28:831] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:030] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:033] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:235] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:237] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:445] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:448] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:653] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:655] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:861] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:29:864] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:067] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:069] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:274] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:277] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:478] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:480] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:684] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:687] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:889] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:30:892] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:095] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:098] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:300] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:303] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:503] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:506] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:710] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:713] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:918] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[21:52:31:921] [2414872:0024d997] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
