# textflood 3840x2160 step=25 epoch_ms=1785502285769.710 mono_ms=58627596.037
frame	loop_start_ms	render_ms	blit_ms	sync_ms
0	58627596.058	127.211	0.002	23.956
1	58627747.248	53.040	0.002	13.324
2	58627813.626	32.884	0.002	12.974
3	58627859.501	45.133	0.002	42.569
4	58627947.221	52.912	0.003	106.886
5	58628107.034	88.431	0.003	9.462
6	58628204.942	51.006	0.002	10.091
7	58628266.057	44.401	0.003	29.202
8	58628339.678	40.866	0.002	22.558
9	58628403.114	44.382	0.002	7.658
10	58628455.166	39.961	0.003	7.038
11	58628502.181	47.916	0.003	7.730
12	58628557.843	49.972	0.003	7.658
13	58628615.490	53.001	0.003	7.040
14	58628675.546	50.819	0.004	9.269
15	58628735.650	71.445	0.003	7.294
16	58628814.408	54.284	0.003	7.681
17	58628876.401	59.052	0.003	7.200
18	58628942.670	86.986	0.003	22.792
19	58629052.465	208.313	0.003	19.252
20	58629280.045	56.944	0.003	8.804
21	58629345.810	194.895	0.003	39.493
22	58629580.215	111.218	0.003	33.599
23	58629725.049	80.527	0.002	29.882
24	58629835.473	53.548	0.002	8.472
25	58629897.509	55.233	0.003	7.845
26	58629960.603	27.946	0.003	7.109
27	58629995.673	39.585	0.003	9.113
28	58630044.390	36.680	0.003	7.220
29	58630088.304	27.870	0.002	7.856
30	58630124.046	48.347	0.003	7.311
31	58630179.715	28.332	0.002	9.981
32	58630218.045	111.072	0.003	16.912
33	58630346.053	53.418	0.003	14.565
34	58630414.052	122.355	0.004	23.035
35	58630559.459	65.623	0.004	7.265
36	58630632.365	99.096	0.003	8.628
37	58630740.105	78.471	0.003	8.358
38	58630826.951	57.108	0.003	6.900
39	58630890.977	70.052	0.003	8.854
40	58630969.899	125.196	0.004	7.978
41	58631103.092	39.346	0.003	6.879
42	58631149.330	29.749	0.003	7.161
43	58631186.253	29.096	0.003	7.289
44	58631222.653	48.453	0.003	7.530
45	58631278.649	40.241	0.003	8.001
46	58631326.907	27.629	0.002	7.182
47	58631361.732	42.247	0.003	7.650
48	58631411.646	68.183	0.003	7.127
49	58631486.983	72.052	0.003	24.951
50	58631584.023	47.656	0.003	7.419
51	58631639.114	81.309	0.003	25.719
52	58631746.159	114.307	0.003	7.445
53	58631867.928	45.904	0.003	7.564
54	58631921.415	78.503	0.003	13.524
55	58632013.458	50.224	0.004	7.212
56	58632070.912	31.976	0.003	11.057
57	58632113.963	54.902	0.003	10.230
58	58632179.113	37.576	0.003	8.622
59	58632225.327	48.773	0.003	7.203
60	58632281.321	76.512	0.002	7.394
61	58632365.242	48.787	0.003	7.534
62	58632421.579	103.740	0.002	7.498
63	58632532.836	93.047	0.003	10.706
64	58632636.606	53.492	0.002	26.290
65	58632716.409	36.153	0.003	7.472
66	58632760.052	51.255	0.002	12.072
67	58632823.397	53.878	0.002	7.529
68	58632884.817	26.538	0.002	7.199
69	58632918.567	63.278	0.003	15.674
70	58632997.535	57.185	0.002	8.632
71	58633063.370	74.071	0.002	7.366
72	58633144.821	60.281	0.002	10.370
73	58633215.490	85.291	0.003	36.252
74	58633337.050	84.153	0.003	7.350
75	58633428.567	25.823	0.003	7.199
76	58633461.604	24.505	0.002	7.245
77	58633493.367	44.830	0.003	7.440
78	58633545.655	43.135	0.002	12.248
79	58633601.054	50.670	0.003	58.096
80	58633709.837	80.241	0.003	17.155
81	58633807.254	45.692	0.003	8.773
82	58633861.734	48.389	0.003	15.833
83	58633925.974	43.439	0.004	11.910
84	58633981.343	36.604	0.003	17.089
85	58634035.054	143.617	0.004	16.449
86	58634195.137	86.081	0.002	19.480
87	58634300.713	52.525	0.003	8.047
88	58634361.302	107.968	0.003	7.327
89	58634476.614	98.133	0.003	24.283
90	58634599.048	111.240	0.003	15.615
91	58634725.919	88.415	0.003	10.388
92	58634824.737	82.224	0.002	31.722
93	58634938.697	72.836	0.003	7.478
94	58635019.028	54.647	0.003	9.103
95	58635082.793	38.440	0.003	7.070
96	58635128.320	45.884	0.002	8.832
97	58635183.064	52.173	0.002	10.350
98	58635245.601	54.561	0.002	7.427
99	58635307.608	102.229	0.002	66.206
100	58635476.060	94.831	0.002	7.685
101	58635578.597	62.060	0.002	29.388
102	58635670.060	83.583	0.003	7.526
103	58635761.188	60.461	0.003	14.146
104	58635835.815	49.242	0.003	7.202
105	58635892.271	46.889	0.003	17.874
106	58635957.047	47.281	0.002	6.982
107	58636011.325	46.879	0.002	16.205
108	58636074.424	45.618	0.002	9.780
109	58636129.840	58.622	0.003	8.195
110	58636196.673	47.722	0.003	11.674
111	58636256.087	40.389	0.002	8.865
112	58636305.356	45.507	0.003	7.312
113	58636358.213	50.338	0.003	8.442
114	58636417.028	46.546	0.002	7.006
115	58636470.598	44.786	0.003	7.209
116	58636522.612	43.751	0.002	7.280
117	58636573.659	57.928	0.003	7.157
118	58636638.761	114.433	0.003	12.483
119	58636765.693	71.776	0.003	14.141
120	58636851.628	66.925	0.003	7.586
121	58636926.158	74.986	0.003	33.788
122	58637034.950	106.824	0.003	13.926
123	58637155.745	78.807	0.003	7.485
124	58637242.053	80.762	0.003	20.908
125	58637343.738	77.389	0.003	39.810
126	58637460.953	121.973	0.002	7.238
127	58637590.179	77.736	0.002	7.835
128	58637675.765	49.372	0.002	7.132
129	58637732.293	47.025	0.003	16.082
130	58637795.414	34.711	0.002	7.670
131	58637837.810	48.871	0.003	7.900
132	58637894.597	53.806	0.003	6.917
133	58637955.338	49.390	0.003	9.017
134	58638013.758	34.544	0.002	6.928
135	58638055.246	39.460	0.002	8.642
136	58638103.366	49.470	0.002	13.945
137	58638166.792	27.338	0.002	7.161
138	58638201.304	34.263	0.013	9.990
139	58638245.607	61.373	0.002	7.325
140	58638314.320	72.961	0.002	18.220
141	58638405.517	52.919	0.002	9.323
142	58638467.773	45.298	0.002	6.740
143	58638519.827	69.563	0.002	18.109
144	58638607.561	27.016	0.003	7.109
145	58638641.707	25.866	0.003	7.077
146	58638674.663	43.560	0.002	8.069
147	58638726.303	38.918	0.002	6.842
148	58638772.078	27.843	0.002	6.942
149	58638806.876	38.104	0.002	8.007
150	58638853.018	33.081	0.002	6.861
151	58638892.971	48.253	0.002	15.092
152	58638956.332	62.333	0.003	8.236
153	58639026.916	28.600	0.002	7.134
154	58639062.663	36.675	0.003	7.407
155	58639106.758	28.633	0.002	7.045
156	58639142.448	35.101	0.002	7.174
157	58639184.734	42.851	0.002	8.058
158	58639235.656	33.241	0.003	7.138
159	58639276.050	34.539	0.003	7.289
160	58639317.892	36.819	0.003	6.858
161	58639361.590	29.052	0.002	7.226
162	58639397.881	40.874	0.003	7.464
163	58639446.233	33.428	0.002	7.541
164	58639487.214	28.557	0.002	7.105
165	58639522.890	39.566	0.003	7.295
166	58639569.765	37.795	0.003	6.894
167	58639614.470	27.012	0.002	7.131
168	58639648.624	38.274	0.003	7.409
169	58639694.320	31.160	0.003	7.714
170	58639733.210	27.573	0.002	7.059
171	58639767.856	35.115	0.002	8.780
172	58639811.766	30.021	0.002	6.675
173	58639848.474	24.875	0.002	8.715
174	58639882.079	42.117	0.002	6.898
175	58639931.106	24.136	0.002	7.046
176	58639962.300	24.852	0.002	7.312
177	58639994.489	41.133	0.002	15.460
178	58640051.096	25.591	0.003	7.016
179	58640083.716	34.399	0.002	7.498
180	58640125.625	29.640	0.002	6.468
181	58640161.742	32.514	0.002	6.913
