slice	mode	commit	xrdp_total	xrdp_pass	result
126	default	9417122630b0161832ab38db973fb321a1f2f79b	31	31	PASS
127	default	b1293ffad32cbb786e4a271d45f2631525e5937b	31	31	PASS
127	trace	b1293ffad32cbb786e4a271d45f2631525e5937b	31	31	PASS
128	default	1364cf8019fc1522c8345debc6e5b4bd869c4975	37	37	PASS
128	trace	1364cf8019fc1522c8345debc6e5b4bd869c4975	37	37	PASS
129	default	36eda78d65b15944541294b393fe4034f6e97057	48	48	PASS
129	trace	36eda78d65b15944541294b393fe4034f6e97057	48	48	PASS
130	default	192d2515a63314056a68e1f96ada9f985ff0d188	54	54	PASS
130	trace	192d2515a63314056a68e1f96ada9f985ff0d188	54	54	PASS
131	default	0bbba915450506c30f56c6b53b45144f48943589	66	66	PASS
131	trace	0bbba915450506c30f56c6b53b45144f48943589	66	66	PASS
132	default	19712922672bf43522ab4d36670de62c5d245824	73	73	PASS
132	trace	19712922672bf43522ab4d36670de62c5d245824	73	73	PASS
133	default	a8bf9a8c6a7c858928b2f7f714b2526bb4b75184	87	87	PASS
133	trace	a8bf9a8c6a7c858928b2f7f714b2526bb4b75184	-	-	FAIL
