UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0    1 Sep01 ?        00:00:00 /usr/sbin/xrdp --nodaemon
root          34       1      34  0    1 Sep01 ?        00:00:00 /usr/sbin/xrdp-sesman
root        1594      34    1594  0    1 14:44 ?        00:00:00 xrdp-sesexec
tester      1595    1594    1595  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1598  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1599  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1600  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1601  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1602  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1603  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1604  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1605  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1606  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1607  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1608  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1609  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1610  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1611  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1612  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1613  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1618  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1661  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1595    1594    1693  0   20 14:44 ?        00:00:00 /usr/lib/xorg/Xorg :10 -auth /var/run/xrdp/1100/Xauthority -config xrdp/xorg.conf -noreset -nolisten tcp -logfile .xorgxrdp.%s.log
tester      1619    1594    1619  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1636  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1637  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1638  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1639  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1640  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1641  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1642  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1643  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1644  0   11 14:44 ?        00:00:00 xfce4-session
tester      1619    1594    1645  0   11 14:44 ?        00:00:00 xfce4-session
tester      1620    1594    1620  0    2 14:44 ?        00:00:00 /usr/sbin/xrdp-chansrv
tester      1620    1594    1622  0    2 14:44 ?        00:00:00 /usr/sbin/xrdp-chansrv
tester      1625       1    1625  0    1 14:44 ?        00:00:00 dbus-launch --exit-with-session startxfce4
tester      1626       1    1626  0    1 14:44 ?        00:00:00 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --session
tester      1655    1619    1655  0    5 14:44 ?        00:00:00 xfwm4
tester      1655    1619    1656  0    5 14:44 ?        00:00:00 xfwm4
tester      1655    1619    1657  0    5 14:44 ?        00:00:00 xfwm4
tester      1655    1619    1658  0    5 14:44 ?        00:00:00 xfwm4
tester      1655    1619    1659  0    5 14:44 ?        00:00:00 xfwm4
tester      1660    1619    1660  0    4 14:44 ?        00:00:00 xfsettingsd
tester      1660    1619    1662  0    4 14:44 ?        00:00:00 xfsettingsd
tester      1660    1619    1663  0    4 14:44 ?        00:00:00 xfsettingsd
tester      1660    1619    1664  0    4 14:44 ?        00:00:00 xfsettingsd
tester      1665    1619    1665  0    5 14:44 ?        00:00:00 xfce4-panel
tester      1665    1619    1666  0    5 14:44 ?        00:00:00 xfce4-panel
tester      1665    1619    1667  0    5 14:44 ?        00:00:00 xfce4-panel
tester      1665    1619    1669  0    5 14:44 ?        00:00:00 xfce4-panel
tester      1665    1619    1701  0    5 14:44 ?        00:00:00 xfce4-panel
tester      1670    1619    1670  0    4 14:44 ?        00:00:00 Thunar --daemon
tester      1670    1619    1672  0    4 14:44 ?        00:00:00 Thunar --daemon
tester      1670    1619    1673  0    4 14:44 ?        00:00:00 Thunar --daemon
tester      1670    1619    1674  0    4 14:44 ?        00:00:00 Thunar --daemon
tester      1681    1619    1681  0    5 14:44 ?        00:00:00 xfdesktop
tester      1681    1619    1682  0    5 14:44 ?        00:00:00 xfdesktop
tester      1681    1619    1683  0    5 14:44 ?        00:00:00 xfdesktop
tester      1681    1619    1684  0    5 14:44 ?        00:00:00 xfdesktop
tester      1681    1619    1688  0    5 14:44 ?        00:00:00 xfdesktop
tester      1692    1665    1692  0    4 14:44 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 6 14680076 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
tester      1692    1665    1694  0    4 14:44 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 6 14680076 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
