# textflood 3840x2400 step=25 epoch_ms=1785580824692.086 mono_ms=1615431319.360
frame	loop_start_ms	render_ms	blit_ms	sync_ms
0	1615431319.378	27.791	0.008	11.273
1	1615431358.675	17.704	0.002	2.309
2	1615431378.710	17.352	0.002	2.315
3	1615431398.389	15.824	0.001	2.239
4	1615431416.459	15.554	0.000	2.375
5	1615431434.398	15.873	0.001	2.282
6	1615431452.562	15.708	0.001	2.232
7	1615431470.511	15.470	0.001	2.249
8	1615431488.237	14.893	0.001	2.236
9	1615431505.372	13.806	0.001	2.295
10	1615431521.479	12.706	0.000	2.295
11	1615431536.488	11.662	0.001	2.214
12	1615431550.369	11.124	0.000	2.126
13	1615431563.624	11.164	0.000	2.249
14	1615431577.043	11.997	0.001	2.217
15	1615431591.263	11.500	0.000	2.078
16	1615431604.848	12.200	0.000	2.265
17	1615431620.350	12.163	0.001	2.169
18	1615431634.695	11.997	0.001	2.161
19	1615431648.859	12.059	0.000	2.253
20	1615431663.178	11.790	0.000	2.258
21	1615431677.232	11.936	0.000	2.186
22	1615431691.361	11.455	0.001	2.281
23	1615431705.106	11.795	0.000	2.259
24	1615431719.166	11.663	0.000	2.139
25	1615431732.974	11.928	0.000	2.298
26	1615431747.206	12.058	0.000	2.218
27	1615431761.488	12.333	0.000	2.312
28	1615431776.140	12.818	0.001	2.212
29	1615431791.177	13.176	0.001	2.180
30	1615431806.540	12.794	0.000	2.129
31	1615431821.469	12.793	0.000	2.066
32	1615431836.333	12.744	0.001	2.341
33	1615431851.863	12.374	0.000	2.304
34	1615431866.548	12.140	0.000	2.180
35	1615431880.873	12.649	0.000	2.166
36	1615431895.695	12.173	0.000	2.279
37	1615431910.153	12.087	0.000	2.174
38	1615431924.420	12.198	0.000	2.152
39	1615431938.775	12.588	0.000	2.193
40	1615431953.565	13.522	0.001	2.244
41	1615431969.338	13.220	0.001	2.114
42	1615431984.678	13.373	0.001	2.224
43	1615432000.282	13.200	0.001	2.139
44	1615432015.628	12.874	0.000	2.420
45	1615432030.929	12.581	0.001	2.161
46	1615432045.678	12.143	0.000	2.079
47	1615432059.906	12.409	0.001	2.198
48	1615432074.519	11.859	0.000	2.239
49	1615432088.781	11.637	0.001	2.158
50	1615432102.583	11.530	0.000	2.227
51	1615432116.346	11.414	0.000	2.164
52	1615432129.929	11.890	0.001	2.365
53	1615432144.191	11.424	0.001	2.066
