[19:36:25:657] [2166547:00210f2a] [WARN][com.freerdp.client.x11] - [load_map_from_xkbfile]:     : keycode: 0x08 -> no RDP scancode found
[19:36:25:657] [2166547:00210f2a] [WARN][com.freerdp.client.x11] - [load_map_from_xkbfile]:     : keycode: 0x5d -> no RDP scancode found
[19:36:25:747] [2166547:00210f2a] [WARN][com.freerdp.core.connection] - [rdp_client_connect_auto_detect]: expected messageChannelId=0, got 1003
[19:36:25:747] [2166547:00210f2a] [WARN][com.freerdp.core.license] - [license_read_binary_blob_data]: license binary blob::type BB_ERROR_BLOB, length=0, skipping.
[19:36:25:747] [2166547:00210f2a] [WARN][com.freerdp.core.connection] - [rdp_client_connect_auto_detect]: expected messageChannelId=0, got 1003
[19:36:26:334] [2166547:00210f91] [WARN][com.freerdp.channels.drdynvc.client] - [check_open_close_receive]: {Microsoft::Windows::RDS::DisplayControl:2} OnOpen=(nil), OnClose=0x7fe1d86e8190
[19:36:29:488] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:491] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:493] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:493] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:495] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:496] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:691] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:693] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:896] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:29:898] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:103] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:106] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:309] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:312] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:514] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:517] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:722] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:724] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:928] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:30:930] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:130] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:133] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:338] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:340] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:546] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:548] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:754] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:757] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:960] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:31:962] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:164] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:166] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:370] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:373] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:576] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:579] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:781] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:784] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:990] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:32:994] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:197] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:201] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:400] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:404] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:605] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:608] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:810] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
[19:36:33:813] [2166547:00210f91] [WARN][com.freerdp.codec] - [intersects]: YUV decoder: intersecting rectangles, aborting
